"","X8","X1.1","X2.1","name","optional"
"321",82.9087273908512,36.09,-119.49,"KAWEAH",TRUE
"330",91.9648917306708,36.11,-119.46,"KAWEAH",TRUE
"338",82.6066725811457,36.11,-119.5,"KAWEAH",TRUE
"339",88.1942297688646,36.12,-119.47,"KAWEAH",TRUE
"340",97.9302481781326,36.12,-119.14,"KAWEAH",TRUE
"342",88.1682193097645,36.12,-119.51,"KAWEAH",TRUE
"343",81.855302498437,36.12,-119.52,"KAWEAH",TRUE
"345",98.5006243573498,36.12,-119.05,"KAWEAH",TRUE
"347",102.757974938343,36.12,-119.03,"KAWEAH",TRUE
"350",99.5464854179271,36.12,-119.04,"KAWEAH",TRUE
"351",106.587140473853,36.12,-119.09,"KAWEAH",TRUE
"352",99.0533279469745,36.12,-119.11,"KAWEAH",TRUE
"356",96.7186091336275,36.13,-119.1,"KAWEAH",TRUE
"357",106.862387064133,36.13,-119.15,"KAWEAH",TRUE
"358",84.2021873894694,36.13,-119.48,"KAWEAH",TRUE
"359",96.6752701972828,36.13,-119.5,"KAWEAH",TRUE
"360",99.1665395360002,36.13,-119.12,"KAWEAH",TRUE
"361",96.2393498742402,36.13,-119.13,"KAWEAH",TRUE
"362",104.133588092161,36.13,-119.04,"KAWEAH",TRUE
"363",96.4970982165957,36.13,-119.06,"KAWEAH",TRUE
"364",90.5590016811273,36.13,-119.52,"KAWEAH",TRUE
"367",102.218046236427,36.13,-119.05,"KAWEAH",TRUE
"368",83.0695037083132,36.13,-119.39,"KAWEAH",TRUE
"370",96.2921308142823,36.14,-119.29,"KAWEAH",TRUE
"371",85.1332798711503,36.14,-119.49,"KAWEAH",TRUE
"372",89.4985984983175,36.14,-119.5,"KAWEAH",TRUE
"373",114.137400512447,36.14,-119.13,"KAWEAH",TRUE
"374",109.069994462797,36.14,-119.16,"KAWEAH",TRUE
"375",113.018079514976,36.14,-119.14,"KAWEAH",TRUE
"378",85.1365579244712,36.14,-119.4,"KAWEAH",TRUE
"379",109.444499630753,36.15,-119.09,"KAWEAH",TRUE
"380",114.520665788876,36.15,-119.14,"KAWEAH",TRUE
"383",117.438400223014,36.15,-119.12,"KAWEAH",TRUE
"385",84.9865796307995,36.15,-119.38,"KAWEAH",TRUE
"386",110.83827011294,36.15,-119.13,"KAWEAH",TRUE
"387",102.988806129549,36.15,-119.16,"KAWEAH",TRUE
"388",111.886681961255,36.15,-119.17,"KAWEAH",TRUE
"389",109.508881291726,36.15,-119.06,"KAWEAH",TRUE
"390",92.9454755216709,36.15,-119.46,"KAWEAH",TRUE
"391",87.8496495334549,36.15,-119.51,"KAWEAH",TRUE
"392",110.064051229493,36.15,-119.11,"KAWEAH",TRUE
"393",93.4217789549011,36.16,-119.19,"KAWEAH",TRUE
"394",93.0388208529118,36.16,-119.44,"KAWEAH",TRUE
"395",85.164020204581,36.16,-119.42,"KAWEAH",TRUE
"396",88.6655570070412,36.16,-119.49,"KAWEAH",TRUE
