Address,Latitude,Longitude,Date,ETo (in/day),qc,Sol Rad Avg (Ly/day),qc
"11473 Melcher Rd, Delano, CA 93215(35.7366, -119.2780)",35.736561,-119.278027,1/1/2016,0.03, ,179, 
"11473 Melcher Rd, Delano, CA 93215(35.7366, -119.2780)",35.736561,-119.278027,1/2/2016,0.04, ,164, 
"11473 Melcher Rd, Delano, CA 93215(35.7366, -119.2780)",35.736561,-119.278027,1/3/2016,0.05, ,215, 
"11473 Melcher Rd, Delano, CA 93215(35.7366, -119.2780)",35.736561,-119.278027,1/4/2016,0.04, ,194, 
"11473 Melcher Rd, Delano, CA 93215(35.7366, -119.2780)",35.736561,-119.278027,1/5/2016,0.03, ,152, 
"11473 Melcher Rd, Delano, CA 93215(35.7366, -119.2780)",35.736561,-119.278027,1/6/2016,0.04, ,182, 
"11473 Melcher Rd, Delano, CA 93215(35.7366, -119.2780)",35.736561,-119.278027,1/7/2016,0.04, ,237, 
"11473 Melcher Rd, Delano, CA 93215(35.7366, -119.2780)",35.736561,-119.278027,1/8/2016,0.03, ,161, 
"11473 Melcher Rd, Delano, CA 93215(35.7366, -119.2780)",35.736561,-119.278027,1/9/2016,0.03, ,205, 
"11473 Melcher Rd, Delano, CA 93215(35.7366, -119.2780)",35.736561,-119.278027,1/10/2016,0.03, ,191, 
"11473 Melcher Rd, Delano, CA 93215(35.7366, -119.2780)",35.736561,-119.278027,1/11/2016,0.03, ,229, 
"11473 Melcher Rd, Delano, CA 93215(35.7366, -119.2780)",35.736561,-119.278027,1/12/2016,0.04, ,235, 
"11473 Melcher Rd, Delano, CA 93215(35.7366, -119.2780)",35.736561,-119.278027,1/13/2016,0.05, ,231, 
"11473 Melcher Rd, Delano, CA 93215(35.7366, -119.2780)",35.736561,-119.278027,1/14/2016,0.04, ,250, 
"11473 Melcher Rd, Delano, CA 93215(35.7366, -119.2780)",35.736561,-119.278027,1/15/2016,0.05, ,271, 
"11473 Melcher Rd, Delano, CA 93215(35.7366, -119.2780)",35.736561,-119.278027,1/16/2016,0.05, ,259, 
"11473 Melcher Rd, Delano, CA 93215(35.7366, -119.2780)",35.736561,-119.278027,1/17/2016,0.05, ,256, 
"11473 Melcher Rd, Delano, CA 93215(35.7366, -119.2780)",35.736561,-119.278027,1/18/2016,0.04, ,217, 
"11473 Melcher Rd, Delano, CA 93215(35.7366, -119.2780)",35.736561,-119.278027,1/19/2016,0.03, ,146, 
"11473 Melcher Rd, Delano, CA 93215(35.7366, -119.2780)",35.736561,-119.278027,1/20/2016,0.03, ,173, 
