"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X1.1","X2.1"
"1",162.627800215989,89.1718628923014,175.423024716867,77.5860376006349,159.886227238926,137.761089496644,159.801056362376,108.282195483158,136.852843102707,108.924951975525,115.16209672263,86.2495805699201,35.01,-118.91
"2",147.51576863074,96.260252265469,174.14797595038,66.2190428841209,163.856993910836,144.608156432424,140.711114518251,105.620303628767,140.974332468675,115.883979886921,120.236237993397,95.9499772647929,35.03,-118.85
"3",161.331241316251,102.311232741878,171.592820180604,67.9719565153652,168.292782531717,142.402530971486,158.693042476676,120.125460349315,147.218018619927,115.54153366674,116.783115444228,81.3038503653713,35.03,-118.88
"4",162.806442433105,100.341518090071,184.158012016694,74.1474138881118,168.143289422099,134.334810808854,137.771744976592,113.696612108054,133.904639108831,115.810647366833,110.243177159249,103.109240234538,35.04,-118.97
"5",162.516837512177,91.43770286495,179.328511977794,70.6800027414797,168.950964162151,141.039124721074,155.404105091677,118.284258543321,146.517085768651,115.741792003512,112.373269437493,95.2036051476191,35.05,-118.9
"6",160.615059154881,91.7056937234885,179.849854250939,78.3571045763393,166.683940483391,138.122881453337,142.975406760004,115.287381687393,139.68208479647,116.6359897108,115.27905532406,87.9897989930972,35.05,-118.92
"7",150.841469333894,97.733594593702,180.160426678356,82.3247768828245,167.191512201385,140.500859320961,154.704355347594,109.75275096408,143.231498234589,108.444906525914,122.349148831689,90.4798282268194,35.05,-118.84
"8",161.559388984143,98.970518973083,176.52713756733,69.3511259797303,180.592502743555,136.879556350323,152.041342556918,113.564432064293,142.396149326684,112.477074594685,118.224508304989,96.7725718251129,35.05,-118.89
"9",153.009530681539,99.9398886594157,182.172200131565,70.8244017557705,178.889675349356,134.963040592367,142.114625054647,107.709557785991,124.029596170769,112.610067862801,113.23567690182,95.2958257778715,35.05,-118.94
"10",154.372419003847,98.9564140849563,171.13150142637,62.9637245302094,145.464210500692,118.692192996463,139.512031766357,94.1034177972402,119.797546582173,101.754583993759,101.647490447093,89.0683304542768,35.06,-119.14
"11",162.121882639363,104.995190324415,182.403995296257,63.9024490466796,167.140431355592,132.673164061525,150.41980251553,117.408513756996,125.942665408168,112.220068716495,110.059838399619,91.2447443220022,35.06,-118.93
"12",176.204044887783,95.5997203437957,183.58839966361,76.2870785977402,163.766874137396,141.338402257131,154.713115559593,114.619566225314,153.668191593746,120.415102347933,119.801634483837,97.8034925980395,35.06,-118.87
"13",162.495808151894,100.988024877886,190.796000313119,73.7139949603414,159.711718037384,132.594257972908,142.768896304647,117.808446295686,157.417405626618,117.746513785972,129.311357417212,89.3216897997847,35.07,-118.84
"14",148.161947488227,105.629529578055,191.474826519586,71.0520758933804,166.793977984343,117.239714151913,148.679517826695,103.111921986428,146.225392857419,95.9503767066289,119.712920195025,96.2437832104796,35.07,-119.02
