"","X5","X1.1","X2.1","name","optional"
"321",125.422236182817,36.09,-119.49,"KAWEAH",TRUE
"330",127.063611857948,36.11,-119.46,"KAWEAH",TRUE
"338",121.100974270373,36.11,-119.5,"KAWEAH",TRUE
"339",135.719440607455,36.12,-119.47,"KAWEAH",TRUE
"340",160.256382381386,36.12,-119.14,"KAWEAH",TRUE
"342",134.717765671394,36.12,-119.51,"KAWEAH",TRUE
"343",125.131298173598,36.12,-119.52,"KAWEAH",TRUE
"345",143.542161064478,36.12,-119.05,"KAWEAH",TRUE
"347",159.678443966102,36.12,-119.03,"KAWEAH",TRUE
"350",150.713077468568,36.12,-119.04,"KAWEAH",TRUE
"351",154.973355952422,36.12,-119.09,"KAWEAH",TRUE
"352",144.892703439025,36.12,-119.11,"KAWEAH",TRUE
"356",153.115818802936,36.13,-119.1,"KAWEAH",TRUE
"357",155.742034802616,36.13,-119.15,"KAWEAH",TRUE
"358",131.748356474134,36.13,-119.48,"KAWEAH",TRUE
"359",133.921510467142,36.13,-119.5,"KAWEAH",TRUE
"360",156.612079198863,36.13,-119.12,"KAWEAH",TRUE
"361",146.468794004004,36.13,-119.13,"KAWEAH",TRUE
"362",138.749296700089,36.13,-119.04,"KAWEAH",TRUE
"363",153.338375438576,36.13,-119.06,"KAWEAH",TRUE
"364",134.829904016805,36.13,-119.52,"KAWEAH",TRUE
"367",144.88156119797,36.13,-119.05,"KAWEAH",TRUE
"368",132.249425930634,36.13,-119.39,"KAWEAH",TRUE
"370",142.614369825025,36.14,-119.29,"KAWEAH",TRUE
"371",130.064742012652,36.14,-119.49,"KAWEAH",TRUE
"372",135.075661742945,36.14,-119.5,"KAWEAH",TRUE
"373",155.658545538378,36.14,-119.13,"KAWEAH",TRUE
"374",153.217239522138,36.14,-119.16,"KAWEAH",TRUE
"375",149.957319307368,36.14,-119.14,"KAWEAH",TRUE
"378",132.977704825762,36.14,-119.4,"KAWEAH",TRUE
"379",155.435583634495,36.15,-119.09,"KAWEAH",TRUE
"380",163.667853704813,36.15,-119.14,"KAWEAH",TRUE
"383",171.108306380397,36.15,-119.12,"KAWEAH",TRUE
"385",131.720697467373,36.15,-119.38,"KAWEAH",TRUE
"386",160.901287503083,36.15,-119.13,"KAWEAH",TRUE
"387",149.698968368512,36.15,-119.16,"KAWEAH",TRUE
"388",165.82851256636,36.15,-119.17,"KAWEAH",TRUE
"389",149.005603480885,36.15,-119.06,"KAWEAH",TRUE
"390",134.148395615764,36.15,-119.46,"KAWEAH",TRUE
"391",129.653431393221,36.15,-119.51,"KAWEAH",TRUE
"392",158.926333715706,36.15,-119.11,"KAWEAH",TRUE
"393",149.83744284408,36.16,-119.19,"KAWEAH",TRUE
"394",137.524356577497,36.16,-119.44,"KAWEAH",TRUE
"395",127.022721881227,36.16,-119.42,"KAWEAH",TRUE
"396",133.364939349288,36.16,-119.49,"KAWEAH",TRUE
"397",141.823423397249,36.16,-119.38,"KAWEAH",TRUE
"398",156.612119697769,36.16,-119.18,"KAWEAH",TRUE
"399",140.919196414333,36.16,-119.4,"KAWEAH",TRUE
"400",159.392783608892,36.16,-119.17,"KAWEAH",TRUE
"401",162.490676353261,36.16,-119.1,"KAWEAH",TRUE
"402",154.472679345052,36.16,-119.08,"KAWEAH",TRUE
"403",167.9507799764,36.16,-119.11,"KAWEAH",TRUE
"404",174.965453729927,36.16,-119.12,"KAWEAH",TRUE
"405",136.53671091754,36.16,-119.45,"KAWEAH",TRUE
"406",149.071828381804,36.16,-119.13,"KAWEAH",TRUE
"407",135.905131811693,36.17,-119.47,"KAWEAH",TRUE
"408",156.448231066441,36.17,-119.11,"KAWEAH",TRUE
"409",157.958287616356,36.17,-119.14,"KAWEAH",TRUE
"410",137.867678094351,36.17,-119.39,"KAWEAH",TRUE
"411",139.979530745279,36.17,-119.36,"KAWEAH",TRUE
"412",150.831462768358,36.17,-119.08,"KAWEAH",TRUE
"413",158.736703114411,36.17,-119.12,"KAWEAH",TRUE
